Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Rumble,641,2371,83%,371,270,58%,3.3,3.5,31:43:00,7.4,729,396,8.6,452,238
Tristana,1085,1700,77%,590,495,54%,3.7,4.3,31:07:00,9.5,674,458,-1.5,150,3
Corki,1720,889,72%,847,873,49%,3.8,5,31:30:00,9.5,751,447,4.1,111,53
Ashe,726,1664,66%,400,326,55%,4.5,4.4,31:39:00,8.4,628,415,2.1,38,90
Leona,1534,843,65%,689,845,45%,2.2,6.6,31:20:00,1.2,201,245,-2.4,-79,-143
Ezreal,1184,918,58%,594,590,50%,4.1,5.1,31:26:00,9.2,840,431,3.4,-9,52
Rell,1449,612,57%,777,672,54%,3,7.4,31:47:00,1,152,250,-3.3,-65,-138
Sejuani,1107,929,56%,542,565,49%,3.9,4.5,31:31:00,5.5,328,326,-8.5,-266,-329
Nautilus,1326,706,56%,641,685,48%,2.3,7.1,31:25:00,1.5,185,251,4.7,13,64
KSante,1296,611,52%,600,696,46%,2.7,7.2,31:37:00,7.4,419,361,-6.9,-364,-20
Renekton,911,839,48%,432,479,47%,2.2,5.9,31:13:00,8.2,474,392,8.6,389,146
Maokai,849,880,48%,454,395,53%,3.3,4.5,31:27:00,5.1,466,316,-9.1,-360,-436
Skarner,553,1082,45%,311,242,56%,3.3,3.9,31:07:00,6.6,513,352,-7.4,-192,-64
Zeri,982,444,39%,496,486,51%,4.3,6.2,31:09:00,10.2,685,465,5.7,199,123
Zyra,637,739,38%,344,293,54%,3.8,4.5,31:35:00,6.9,661,367,12.1,206,484
Vi,467,893,37%,239,228,51%,2.8,4.8,31:50:00,5.9,297,342,-1.7,-45,8
Kaisa,852,502,37%,433,419,51%,4.4,7.1,31:17:00,9.4,695,452,-1,-145,-32
Taliyah,618,653,35%,310,308,50%,3.9,4.7,32:01:00,8.3,658,409,-0.3,-62,53
Lucian,648,601,34%,319,329,49%,3.2,5.3,31:34:00,9.2,698,442,3.2,94,7
Braum,492,721,33%,250,242,51%,3.4,7.8,31:16:00,1,185,246,-3.2,-12,61
Varus,607,573,32%,264,343,43%,3.4,5.7,31:55:00,8.6,690,427,3.8,79,15
Brand,624,543,32%,322,302,52%,3.5,5.2,31:55:00,6.8,693,377,6,137,244
Alistar,726,439,32%,377,349,52%,2.8,8.2,31:34:00,1,150,243,-2.8,-109,-55
Kalista,293,864,32%,156,137,53%,3.9,5,31:22:00,8.8,544,438,8.4,375,178
Nidalee,440,646,30%,214,226,49%,3.9,4.1,31:08:00,6.9,570,378,8,247,266
Yone,530,537,29%,278,252,52%,3.1,5.7,31:36:00,9.1,600,426,0,-109,97
LeBlanc,289,763,29%,148,141,51%,4.3,4.4,31:49:00,8.4,735,428,6,473,330
Ivern,318,664,27%,152,166,48%,5.3,3.8,30:59:00,5.1,213,328,-15.3,-177,-433
Gnar,565,391,26%,270,295,48%,2.5,7.6,31:46:00,8.5,582,401,5.9,147,104
Hwei,444,483,26%,215,229,48%,4.1,4.5,31:57:00,8.3,785,408,-0.6,-47,-22
Miss Fortune,495,419,25%,252,243,51%,4,6.4,31:49:00,9.7,681,447,6.8,225,108
Senna,278,603,24%,154,124,55%,5.6,4.3,31:19:00,1.9,558,322,-91.2,-1170,-1590
Azir,492,344,23%,248,244,50%,3.4,5.6,31:46:00,9.3,715,430,-0.4,-154,48
Jax,353,473,23%,193,160,55%,2.3,7.2,31:46:00,7.9,497,398,-4.6,-97,-184
Lillia,433,385,23%,218,215,50%,3.9,5.7,31:18:00,7.3,553,384,10.6,215,372
Jinx,475,311,22%,246,229,52%,4.6,6,31:03:00,9.6,692,455,2.1,-21,-113
Jhin,546,225,21%,274,272,50%,5.9,7.5,31:59:00,9,641,433,-1.3,-128,-19
Camille,345,423,21%,199,146,58%,2.6,7.1,31:05:00,7.7,521,408,-5.4,-71,-184
Viego,441,323,21%,216,225,49%,3.6,6.3,31:35:00,6.6,365,375,6,194,235
Twisted Fate,214,546,21%,112,102,52%,2.7,6.2,31:56:00,7.9,502,438,1.3,552,-241
Rakan,512,228,20%,279,233,54%,4,8.5,31:25:00,1.1,155,252,-3.7,3,-100
Kennen,356,369,20%,195,161,55%,2.5,6.7,31:58:00,8,659,400,10.4,291,165
Ziggs,235,439,19%,110,125,47%,4.1,6.7,32:16:00,9,865,429,6.1,295,235
Ornn,444,202,18%,219,225,49%,3.2,8,31:12:00,6.8,415,342,3.2,-232,191
Karthus,245,377,17%,116,129,47%,2.9,4.5,31:43:00,7.6,852,403,14.8,356,640
Xin Zhao,360,251,17%,164,196,46%,2.9,7.2,31:02:00,5.9,407,347,-2.8,-84,-124
Jayce,247,240,13%,108,139,44%,2.7,7.1,31:07:00,8.7,728,420,3.5,103,-82
Poppy,248,231,13%,119,129,48%,2.4,7.7,31:45:00,4.5,372,309,-4.1,-80,-113
Caitlyn,169,304,13%,94,75,56%,4,5.1,31:19:00,9,758,455,5.3,252,57
Orianna,208,256,13%,99,109,48%,4.5,5.4,32:00:00,8.5,606,402,4,-7,124
Draven,118,288,11%,55,63,47%,3.3,4.9,30:59:00,8.8,599,468,8.9,520,68
Lee Sin,223,169,11%,104,119,47%,3.3,6,31:41:00,6,357,357,-2.9,-26,-68
Aatrox,242,120,10%,100,142,41%,2,7,31:03:00,7.8,530,377,-2.6,-262,-45
Renata Glasc,159,165,9%,85,74,53%,3.9,7.5,31:18:00,1.2,219,263,-3.6,71,242
Aurora,98,212,9%,48,50,49%,3.7,4,32:29:00,7.5,722,381,-4.8,-181,0
Aphelios,192,91,8%,80,112,42%,3.1,6.4,31:27:00,9,675,435,1.6,-164,-68
Smolder,185,96,8%,89,96,48%,3.9,6.4,32:26:00,9.8,906,444,12.1,-226,149
Xayah,202,76,8%,99,103,49%,3.9,8.4,32:00:00,9.8,650,449,2.6,92,143
Olaf,76,195,7%,36,40,47%,2.5,7.2,31:54:00,8.1,549,408,7.9,213,3
Gwen,141,128,7%,75,66,53%,2.4,8.3,31:13:00,8.5,655,426,6.4,252,16
