Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
1116,,23,21.70%,3,3.3,2.9,5.6,8.9,406,73.90%,29.6,751,1.08,0.46,0.26,0.18,-196,0,-15,30.40%,8.70%,0,3
113,,38,73.70%,3.7,2.9,3.5,10,5.5,349,75.30%,17,515,1.26,0.29,0.29,0.26,45,-3,-105,36.80%,18.40%,0,2
1Jiang,,49,65.30%,3.6,3.1,2.2,4.6,8.3,406,53.40%,20,553,1.07,0.4,0.19,0.19,491,14,410,22.40%,8.20%,0,25
1xn,,37,54.10%,4.7,4.1,2.1,5.6,9.7,444,66.10%,28.3,722,1.18,0.4,0.38,0.12,47,-,-,-,-,-,-
225,,3,66.70%,3.7,1,3,10,1.4,275,69.20%,11.2,310,2.82,1.54,0.36,0.28,-745,-31,-1077,33.30%,0%,0,-
369,,54,72.20%,3.2,2.8,2.5,5.2,8.1,397,55.40%,19.1,516,0.97,0.36,0.15,0.14,80,6,478,3.70%,1.90%,0,7
4ever,,2,50%,3.5,10,4,4,6.8,461,60.50%,31,835,0.84,0.32,0.08,0.19,554,2,51,50%,0%,0,3
5Kid,,19,5.30%,2.3,3.4,2.9,3.3,10,425,68.20%,31.1,689,1.24,0.45,0.35,0.14,532,38,841,21.10%,5.30%,0,2
665,,36,52.80%,2.9,3.7,4.1,8.3,6.4,374,69.40%,18.7,571,1.48,0.47,0.32,0.28,-115,-1,-76,36.10%,22.20%,0,6
6ax,,30,63.30%,3.6,4.1,2.6,5.3,9.1,433,67.70%,27.7,716,0.95,0.35,0.17,0.14,-9,4,-152,16.70%,13.30%,0,12
958922,,13,46.20%,2.5,2.5,4.2,7.8,6.1,350,72.40%,16.5,375,1,0.24,0.22,0.15,-101,1,-111,0%,15.40%,0,-
9God,,2,0%,1.3,3,4.5,3,5.4,319,78.40%,18.1,360,1.22,0.3,0.22,0.38,366,2,133,0%,0%,0,-
ACD,,20,45%,2.3,4,4.3,6.2,7.8,425,59.30%,30.1,833,0.92,0.33,0.15,0.09,557,12,179,10%,25%,0,17
AKi,,35,40%,3.2,2.3,2.8,6.6,6.3,349,66.20%,15,399,1.47,0.42,0.32,0.2,-167,-,-,-,-,-,-
APA,,25,80%,5.8,5.4,1.9,5.8,9.5,489,65.10%,31,889,1.43,0.54,0.26,0.19,759,7,338,20%,8%,0,14
APP,,14,35.70%,2.4,2.6,3.3,5.1,7.1,368,51.60%,23.2,514,0.88,0.32,0.11,0.12,-66,-3,-57,7.10%,7.10%,0,3
ASM,,11,27.30%,2.6,0.6,3.1,7.5,1,234,64.90%,7.3,158,2.74,1.18,0.38,0.21,-106,-4,-91,18.20%,0%,0,-
Abagnale,,21,33.30%,1.7,0.8,5.8,9.1,1.1,241,68.40%,6.3,168,3.63,2.09,0.43,0.53,35,4,-108,19%,14.30%,0,-
Abbedagge,,38,73.70%,5.8,4.9,2.1,7.3,9,449,67.20%,27.8,821,1.31,0.46,0.29,0.21,413,6,289,18.40%,5.30%,0,9
Ablazeolive,,25,64%,3.9,5,2.7,5.6,8.9,436,66.30%,30.2,851,1.15,0.42,0.22,0.13,264,3,32,16%,0%,0,9
Able,,18,33.30%,2.8,2.6,2.6,4.5,10.1,432,68.50%,28.3,647,1.16,0.24,0.47,0.07,-374,-,-,-,-,-,-
Abner,,14,42.90%,3.2,3.8,2.6,4.4,9,421,59%,26.7,604,0.63,0.24,0.18,0.01,-226,0,-67,7.10%,7.10%,0,-
Abow,,12,8.30%,1.7,3.1,4.3,4.3,5.7,338,71.30%,16.2,356,1.17,0.24,0.28,0.19,-406,-7,-434,16.70%,0%,0,3
Abyss,,6,0%,1,1.7,4.5,2.7,5.9,317,62.10%,18.5,400,1.22,0.26,0.33,0.27,-465,-12,-578,50%,16.70%,0,-
Acee,,24,29.20%,3.3,3.3,2.6,5.3,8.6,397,63.50%,27.4,698,1.16,0.49,0.21,0.2,-577,-6,-257,12.50%,4.20%,0,3
Ackerman,,33,51.50%,3.8,1.1,3.3,11.5,1.6,264,70.80%,8.4,226,3.3,1.71,0.39,0.49,122,0,321,36.40%,15.20%,0,1
Acorderr,,30,56.70%,2.5,1.1,3.8,8.5,1.6,258,63.50%,7.3,183,3.53,1.65,0.49,0.36,249,5,214,20%,26.70%,0,-
Adam,,37,56.80%,2.9,2.6,2.8,5.4,7.5,377,61.60%,20.3,513,1.12,0.4,0.23,0.22,92,-2,-125,29.70%,5.40%,1,13
Adasz,,14,35.70%,3.1,3.3,2.6,4.6,8.1,382,54.30%,24.8,548,1,0.45,0.09,0.11,-948,-14,-435,0%,0%,0,5
Addusto,,1,0%,3.3,4,4,9,7,386,46.40%,16.9,513,1.03,0.37,0.11,0.21,-263,11,-498,0%,0%,0,1
Adii,,26,53.80%,2.3,2.4,4.1,7.2,6,344,72.40%,18.4,480,1.42,0.34,0.34,0.25,-43,2,57,42.30%,15.40%,0,4
