Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
100 Thieves,S14,NA,22,45.50%,0.82,1846,-59,29:53:00,12.8,15.6,5.9,6.2,50,50,1.36,39.4,2.7,0.55,54.5,0.55,-0.5,-1004,4.36,0.45,42.5,33.6,2653,3.4,1.14,1.43
A One Man Army,S14,BE,13,53.80%,1.15,1903,80,31:41:00,17.2,14.8,7.2,5.8,38.5,53.8,2.85,63.1,2.5,0.54,53.8,1.31,-0.1,-146,4.31,0.92,64.6,32.4,2945,3.2,0.94,1.06
Aegis,S14,FR,18,16.70%,0.66,1749,-222,31:42:00,10.8,16.3,4.3,8.2,61.1,33.3,2.17,52.4,2.3,0.56,55.6,1,-0.4,-1195,4.22,0.56,28.1,33,2294,3.5,1.25,1.37
Akroma,S14,FR,21,33.30%,0.74,1833,-79,33:29:00,15,20.3,6,6.8,33.3,66.7,1.71,35.1,3.6,0.71,71.4,0.52,0.1,110,4.14,0.76,39.7,32,2687,3.3,0.98,1.35
All for One Gaming,S14,DE,18,11.10%,0.6,1698,-331,29:49:00,12.1,20.2,2.6,8.7,50,22.2,1.44,33.2,1.7,0.39,41.2,0.94,-0.5,-1758,3.17,0.17,9.4,30.6,2389,3,0.76,1.26
aNc Outplayed,S14,IT,13,46.20%,0.94,1832,-28,34:16:00,14.8,15.8,6,7.1,69.2,61.5,2.31,46.5,3.5,0.46,46.2,0.85,0.3,876,5.31,0.69,41,32.8,2429,3.2,1.15,1.33
Ankora Gaming,S14,RS,13,7.70%,0.64,1682,-277,32:42:00,11.6,18.2,4.1,9.7,46.2,46.2,2.38,48.8,2.5,0.62,61.5,1.23,-0.5,-1365,2.31,0.46,33.3,29.6,2344,3,0.7,0.98
Anorthosis Famagusta Esports,S14,GR,34,52.90%,1.22,1889,56,30:53:00,17.9,14.6,7.1,5.8,67.6,47.1,2.47,58.7,2.7,0.79,79.4,0.94,-0.1,452,4.03,0.85,66.7,30.8,2736,3.4,1.1,1.33
Antic Esports,S14,OCE,24,58.30%,1.33,1984,136,29:22:00,19.8,14.9,7,5.5,54.2,66.7,2.13,57,3.8,0.54,54.2,0.88,0.7,1594,6.33,0.63,52.3,32.9,3067,2.9,0.92,1.11
Anubis Gaming,S14,AL,20,45.00%,0.99,1885,21,31:03:00,17,17.2,5.9,6,40,55,2.3,51.6,3.4,0.55,55,0.8,0.4,989,4.3,0.85,52.2,32,2804,3.2,1.15,1.21
Anyone s Legend,S14,CN,45,60.00%,1.16,1941,91,30:51:00,15,12.9,6.8,5.5,55.6,33.3,2.22,53,3.1,0.44,44.4,-,-,702,-,0.84,54.4,35.1,2650,3.8,1.25,1.74
AOE Esports,S14,NA,25,28.00%,0.72,1706,-277,31:25:00,11.9,16.6,3.8,8.5,40,28,1.76,37.3,2.6,0.24,24,0.68,-0.4,-1596,2.92,0.36,18.7,32.3,2347,3,0.93,1.32
Atleta Esport,S14,IT,25,56.00%,1.28,1919,93,30:31:00,16.4,12.8,6.8,5.7,60,48,2.28,49.5,3.1,0.44,45.8,0.71,-0.1,591,4.88,0.64,58.3,34.1,2664,2.9,0.84,1.22
Austrian Force willhaben,S14,DE,26,53.80%,0.81,1851,-28,31:53:00,13.3,16.5,6.7,6,65.4,57.7,2.15,47.6,3.7,0.58,60,1,-0.1,50,5.04,0.85,56.9,33.4,2647,3.3,1.01,1.46
AXIZ CREST,S14,JP,22,36.40%,0.71,1791,-146,32:22:00,12.7,18,5,7.7,50,31.8,2.09,46.1,2.7,0.45,45.5,1.05,-0.3,-1933,3.36,0.59,45,33,2532,3.3,1.29,1.62
Axolotl,S14,IT,13,7.70%,0.38,1633,-522,27:00:00,8.1,21.3,2.5,9.5,30.8,23.1,1.31,29.4,1.5,0.08,7.7,0.92,-1.5,-4812,2.54,0.15,9.1,30.3,1973,2.6,0.64,0.95
Baby Buffaloes,S14,TR,18,44.40%,0.95,1821,-29,32:26:00,16.3,17.1,6.1,6.5,50,50,2.22,47.3,2.6,0.89,88.9,1.17,0,10,4.17,0.89,57.4,30.5,2418,2.4,0.62,1.05
Back2TheGame,S14,PL,30,56.70%,1.17,1860,31,33:49:00,15.1,12.9,6.8,6,46.7,56.7,2.47,50.1,3.4,0.4,40,0.8,0.2,561,4.87,0.77,50,33.5,2559,3.2,0.95,1.42
Barça eSports,S14,ES,46,54.30%,1.12,1886,26,31:45:00,17.1,15.2,6.8,5.9,60.9,56.5,2.52,53.5,2.6,0.54,54.3,1.15,0,-192,3.83,0.91,57.2,32.7,2735,3.3,1.17,1.32
BeFive,S14,RS,21,47.60%,0.9,1856,-1,31:00:00,15.4,17.1,6.3,6,61.9,38.1,2.57,56.6,3.8,0.43,45,0.95,0.1,-141,4.43,0.81,53.2,33.1,2743,2.6,0.77,1.2
Berlin International Gaming,S14,DE,18,44.40%,1.01,1792,-35,32:56:00,13.9,13.8,6,6.6,61.1,50,2.33,50.7,2.2,0.72,72.2,0.83,-0.3,-724,4.44,0.83,52.9,31.6,2614,3.7,1.2,1.46
Besiktas Esports,S14,TR,22,50.00%,0.93,1893,-25,32:04:00,14.9,15.9,6,6.6,50,45.5,2.41,53.4,2.7,0.41,40.9,1,0.2,352,4.82,0.68,39.6,34.7,2410,3,0.99,1.4
Bilibili Gaming,S14,CN,46,71.70%,1.41,1994,197,31:52:00,17.4,12.3,8.1,4.6,67.4,58.7,2.65,60.2,3.4,0.59,58.7,1,0,1590,7,1.11,73.7,34.9,2827,3.5,1.21,1.83
BK ROG Esports,S14,FR,52,61.50%,1.19,1931,125,32:11:00,15.9,13.3,7.5,4.9,55.8,73.1,2.62,58.9,2.9,0.48,48.1,1.02,0.4,990,4.79,0.85,56.9,35,2676,3.2,1.06,1.46
Blue Otter,S14,NA,35,51.40%,1.05,1859,28,31:57:00,15.8,14.9,6.1,5.8,42.9,51.4,2,47.1,3.3,0.54,54.3,0.89,0.1,-187,3.29,0.86,59.3,32.6,2532,3,0.84,1.31
BlueWhites,S14,EUW,14,14.30%,0.61,1711,-350,29:13:00,13.4,22,3.1,8.6,28.6,14.3,1.36,31.5,1.9,0.71,71.4,0.79,-0.8,-1909,2.29,0.36,19.2,29.6,2423,2.4,0.45,0.87
BoostGate Esports,S14,TR,33,51.50%,0.93,1839,-70,29:58:00,14.4,15.5,5.3,6.8,48.5,36.4,1.67,40.4,3,0.33,33.3,0.67,-0.4,-749,3.76,0.67,46.1,33.1,2384,2.7,0.87,1.32
BRO Challengers,S14,KR,45,40.00%,0.94,1789,-83,32:41:00,11.2,12,5.4,6.7,51.1,51.1,1.53,33.4,2.8,0.33,34.1,0.6,0,-557,3.11,0.71,46.2,33.9,2315,4,1.6,1.72
BRUTE,S14,CZ,21,47.60%,1.14,1811,-46,32:55:00,15,13.1,5.7,7,57.1,38.1,2.67,54,2.4,0.38,38.1,0.9,-0.4,-273,3.1,0.81,51.7,33.1,2622,3,0.87,1.23
Burning Core Toyama,S14,JP,20,20.00%,0.65,1730,-254,29:45:00,10.3,15.8,3.9,8.9,45,50,1.9,43.1,2.7,0.45,45,0.75,-0.3,-1256,3.85,0.4,23.7,32.5,2319,3.4,1.54,1.52
BWE Esports,S14,PT,14,28.60%,0.76,1777,-193,30:44:00,14.9,19.6,4.8,8.3,42.9,42.9,1.71,36.6,2.3,0.14,14.3,1.07,-0.4,-1413,3.57,0.5,30.8,31.1,2462,2.5,0.71,1.11
CCG Esports,S14,NA,22,31.80%,0.83,1794,-152,31:56:00,14.9,17.9,4.6,7.9,54.5,22.7,2.09,46.3,1.7,0.27,27.3,0.91,-0.3,-1304,2.77,0.59,34.1,32.8,2686,2.5,0.63,1.28
Cerberus Esports,S14,VN,30,26.70%,0.68,1776,-210,30:29:00,12.1,17.8,4.6,7.6,43.3,43.3,1.63,36.4,2.6,0.47,46.7,0.8,-0.2,-1415,3.9,0.5,29.2,33,2479,3.6,1.54,1.67
Cloud9,S14,NA,20,70.00%,1.22,1887,128,31:49:00,12.7,10.4,6.9,4.9,65,60,2.75,62.8,3.9,0.65,65,1.15,0,1241,5.25,0.8,64,35.5,2457,3.3,1.22,1.8
Comanchero Gaming,S14,TR,26,57.70%,1.2,1896,88,32:32:00,18.7,15.6,7.3,5.3,61.5,57.7,2.58,54.4,3.4,0.58,60,1.15,0.4,999,6.62,0.85,55.8,31.6,2590,3,1.12,1.25
Crvena zvezda Esports,S14,RS,30,63.30%,1.04,1882,139,31:17:00,13.7,13.2,7,4.7,50,66.7,2.37,56.4,2,0.47,48.3,1.1,0.1,1214,5.27,0.67,53.6,34,2605,2.9,0.76,1.23
CTBC Flying Oyster,S14,PCS,39,56.40%,1.18,1891,85,29:16:00,14,11.8,6.3,5.3,41,51.3,2.21,55.5,3.1,0.44,44.7,0.95,0.1,246,5.05,0.64,58.1,34.1,2798,3.5,1.16,1.53
Cyber Wolves,S14,RS,19,42.10%,0.83,1766,-95,29:48:00,12.7,15.4,4.7,6.6,42.1,47.4,1.84,47.5,3.1,0.37,36.8,0.68,-0.3,-934,3,0.53,38.9,32,2370,2.8,0.79,1.17
Dark Passage,S14,TR,47,53.20%,1.06,1934,83,33:00:00,15.7,14.9,7.3,5.7,48.9,63.8,2.3,50.3,3.1,0.66,66,0.83,0.2,802,5.32,1.02,57,35.1,2641,3.3,1.09,1.45
Deep Cross Gaming,S14,PCS,36,52.80%,0.96,1914,38,28:39:00,17,17.8,6.1,5.6,50,66.7,2.22,58.7,2.9,0.53,55.9,1.11,0.1,-26,5.31,0.61,49,32.2,3010,3.5,1.24,1.56
Detonation FocusMe,S14,JP,42,64.30%,1.28,1928,108,30:39:00,18,14.1,6.9,5.2,50,54.8,2.43,59.4,2.5,0.45,45.2,0.88,0.2,862,5,0.81,60.8,32.9,2865,3,1.23,1.69
devils.one,S14,PL,14,35.70%,0.82,1794,-111,33:30:00,13.7,16.8,5.3,7.4,35.7,35.7,2.57,50.4,2.9,0.36,35.7,1,-0.1,-968,3,0.64,35.7,32.9,2532,3.2,0.79,1.24
Diamant Esports,S14,RS,14,35.70%,0.8,1755,-158,31:04:00,13.4,16.7,5.4,7.4,28.6,42.9,2.07,46,1.6,0.21,21.4,1.14,-0.1,-836,3.5,0.57,33.3,31.3,2364,2.6,0.92,1.01
Dignitas,S14,NA,25,44.00%,0.82,1820,-77,32:37:00,12.3,14.9,5.5,7.1,28,56,2.12,47.6,2.2,0.32,32,0.8,0,-652,4.84,0.76,45.5,34.6,2443,3.4,0.98,1.72
Dire Wolves,S14,OCE,17,29.40%,0.83,1810,-227,28:30:00,16.4,19.6,3.8,8.1,47.1,35.3,2.12,55.2,1.4,0.29,29.4,1.12,-0.5,-1777,4.12,0.41,34.4,31.2,2605,2.9,0.83,1
Direct Rising eSports,S14,DE,18,33.30%,0.72,1898,-46,30:55:00,15.1,20.9,6.3,7.1,50,61.1,1.72,40.6,3.2,0.39,38.9,0.72,-0.1,-642,4.89,0.56,46.1,32.3,2820,2.7,0.83,1.12
