Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Lillia,14,26,100%,9,5,64%,4.3,4.2,31:50:00,7.7,479,385,19.2,446,781
Rumble,4,34,95%,3,1,75%,4,2.9,35:51:00,7.4,772,405,6.8,166,352
Renekton,26,10,90%,15,11,58%,2.2,4.3,31:28:00,7.5,425,366,1.2,-41,-284
Ivern,11,23,85%,5,6,45%,5.2,4.1,32:38:00,5,190,322,-22.5,-228,-792
Smolder,10,22,80%,5,5,50%,5.5,2.5,31:00:00,9.4,1007,436,-11.5,-664,-497
Corki,24,7,78%,12,12,50%,2.8,6.7,33:52:00,9.4,743,434,8,221,164
Azir,11,20,78%,4,7,36%,3.1,4.1,32:22:00,9.6,709,432,-3.8,-110,64
Ziggs,11,18,73%,5,6,45%,4.9,5.4,31:04:00,9.1,793,408,-7.7,-440,304
Senna,11,18,73%,6,5,55%,5.3,5.6,31:36:00,1.2,380,293,-13.4,447,418
KSante,23,6,73%,11,12,48%,2.9,5.8,32:15:00,7.1,407,357,-3.7,39,384
Ezreal,11,17,70%,4,7,36%,4.9,4.8,30:14:00,9,770,410,2.5,-31,-193
Leona,15,12,68%,10,5,67%,3,8.5,32:00:00,1.2,188,234,1.8,-208,-192
Miss Fortune,14,12,65%,5,9,36%,3.7,6.6,34:39:00,9.6,730,434,9.9,341,83
Rell,20,5,63%,11,9,55%,2.8,4.6,31:42:00,1.1,132,249,1,-185,-280
Ashe,12,11,58%,5,7,42%,3.9,5.9,32:39:00,8.6,616,399,-2.2,-580,121
Nasus,3,20,58%,3,0,100%,6.6,4.2,27:11:00,8.6,701,450,0.7,-550,84
Vi,6,17,58%,3,3,50%,3,6,34:18:00,6.2,285,347,12.7,189,687
Maokai,14,7,53%,6,8,43%,3,8.6,32:21:00,4.9,383,296,-13.6,-652,-691
Kaisa,8,10,45%,7,1,88%,27,7.4,32:19:00,10,730,486,1.1,641,236
Kalista,10,7,43%,5,5,50%,3.6,8,31:33:00,9.3,547,428,10.3,305,-254
Nautilus,11,4,38%,5,6,45%,2.3,9.5,32:23:00,1.7,195,256,13.3,265,234
Yone,4,11,38%,4,0,100%,7.7,1.8,31:12:00,9.7,728,479,-3,115,117
Zeri,12,2,35%,6,6,50%,3.6,6,32:24:00,10.2,655,468,-3.8,-66,-419
Amumu,10,3,33%,7,3,70%,3.9,7.3,33:18:00,6.2,337,335,8.7,377,402
Sejuani,8,4,30%,6,2,75%,5.1,6,30:17:00,5.3,369,339,-12.1,-265,-453
Alistar,7,4,28%,1,6,14%,2.5,9.5,34:41:00,0.8,166,235,-3.4,-38,181
Poppy,3,8,28%,0,3,0%,1.8,7.6,36:15:00,6.1,387,311,-10.3,-919,-1049
Jhin,6,5,28%,4,2,67%,8.2,8.6,34:59:00,8.8,620,437,-11,-36,-124
Jax,4,6,25%,2,2,50%,1.7,6.8,30:30:00,6.7,495,396,-9.2,3,-92
